"","postcode","n"
"1174","5095",1
"1175","5096",1
"1176","5097",1
"1177","5098",1
"1178","5107",1
"1179","5127",1
"1180","5158",1
"1181","5165",1
"1182","5167",1
"1183","5173",1
"1184","5181",1
"1185","5238",1
"1186","5241",1
"1187","5251",1
"1188","5255",1
"1189","5275",1
"1190","5290",1
"1191","5333",1
"1192","5352",1
"1193","5431",1
"1194","5495",1
"1195","5501",1
"1196","5573",1
"1197","5581",1
"1198","5690",1
"1199","5723",1
"1200","6010",1
"1201","6015",1
"1202","6026",1
"1203","6035",1
"1204","6038",1
"1205","6082",1
"1206","6083",1
"1207","6084",1
"1208","6089",1
"1209","6103",1
"1210","6125",1
"1211","6154",1
"1212","6156",1
"1213","6166",1
"1214","6174",1
"1215","6175",1
"1216","6232",1
"1217","6236",1
"1218","6244",1
"1219","6281",1
"1220","6304",1
"1221","6308",1
"1222","6351",1
"1223","6365",1
"1224","6390",1
"1225","6405",1
"1226","6507",1
"1227","6525",1
"1228","6566",1
"1229","6635",1
"1230","6701",1
"1231","6705",1
"1232","6707",1
"1233","6721",1
"1234","6743",1
"1235","6770",1
"1236","6956",1
"1237","7006",1
"1238","7012",1
"1239","7016",1
"1240","7022",1
"1241","7025",1
"1242","7045",1
"1243","7055",1
"1244","7104",1
"1245","7171",1
"1246","7172",1
"1247","7176",1
"1248","7214",1
"1249","7244",1
"1250","7253",1
"1251","7261",1
"1252","7265",1
"1253","7267",1
"1254","7268",1
"1255","7276",1
"1256","7290",1
"1257","7321",1
"1258","7322",1
"1259","7470",1
"1260","800",1
"1261","8011",1
"1262","810",1
"1263","812",1
"1264","835",1
"1265","860",1
"1266","9305",1
